AL | National Packaging | scott.matthews@npcoinc.com | 101 Lenwood Road Southeast, Decatur, AL, 35603, United States | 256-350-7047 | National Packaging is a copacker specializing in free flowing powders. We run bags, sticks, and sachets. We have been in business for over 30 years and have packaged for most of the major sweetener brands on the market.
CA | Martini Incentives Inc (Associate Member) | orders@martiniincentives.com | 2279 Eagle Glen Parkway, Corona, CA, 92883, United States | 951-232-1213 | Martini Incentives is provides End-to-End custom contract packaging solutions. Established in 2004, our mission is to provide quality packaging at competitive prices with the best customer service. Our solutions include: Custom and Stock Bags and Pouches Sustainable material options Jars, Bottles, and Pre-roll Packaging Lids and caps Metal Tins We look forward to working with new customers and solving their challenges with custom packaging.
CA | ADCO Manufacturing (Associate Member) | 2170 Academy Avenue, Sanger, CA, 93657, United States | 888-608-5946 | Founded in 1958, ADCO has grown into a leading US manufacturer of packaging machinery and systems.With a reputation built on providing customers with safe, reliable, flexible and sanitary machine designs, as well as exemplary aftermarket support. ADCO serves companies around the world in many industries including refrigerated & frozen foods, convenience, snack, confectionery, personal care & household products. ADCO's innovative product line includes horizontal & vertical end load cartoners, top load cartoning systems, paperboard wrap around sleevers, corrugated tray formers, traditional and retail-ready case packaging systems, robotic packaging systems & customer packaging machinery.
CA | Minimus Products LLC | 1260 Rancho Conejo Blvd., Ste 2, Newbury Park, CA, 91320, United States | 805-376-6352 | Contract packager with low minimums, specializing in: small packets of food (both kosher and organic certified) and non-food liquids, powders, and pastes; gusseted and non-gusseted bag/jar/bottle fill/seal/cap; liquid bottle fill/cap; with additional warehousing/fulfillment, and sales/distribution opportunities through partner company Minimus.biz.
CA | Namar Foods | 6830 Walthall Way, Paramount, CA, 90723, United States | 562-531-2744 | NAMAR FOODS is a custom contract manufacturer, specializing in dry blending and packaging. Production of many types of powders are blended in ribbon blenders with numerous packaging options. You have a reliable partner in NAMAR FOODS for food service to retail shelf ready product. Certifications include Organic, Kosher, Halal, GFCO, SQF Level II and Non GMO. We also have an R&D department if formulas are not provided. NAMAR FOODS is a peanut-free facility.
CA | WePackItAll | ap@wepackitall.com | 2745 Huntington Dr., Duarte, CA, 91010, United States | 626-301-9214 | Your contract packaging, warehouse, and fulfillment services company.
CA | 6 Degrees Collective | orders@6degreescollective.com | 29017 Avenue Penn, Valencia, CA, 91355, United States | 661-622-4880 | Our turnkey approach to private label manufacturing uniquely positions us to offer the highest quality products at the most competitive pricing, with the quickest turnaround. We handle product design, R&D, formulation, compounding, filling, shipping, marketing, and everything in between.
CA | CHL Packaging | robertl@chlpackaging.com | 12500 Slauson Avenue, Santa Fe Springs, CA, 90670, United States | 562-696-1777 | Assembly and secondary packaging services - B2B and B2C fulfillment - Dry and refrigerated storage
CO | Western Innovations Inc. | 4825 Nome Street, Denver, CO, 80239, United States | 303-307-4500 | Highly versatile Co-Packer for food powders, supplements and cold-filled liquids and pastes, Tableting, powder and liquid encapsulation, balm filling, paste in tubes and pouches, powder mixing, some liquid mixing, vertical and horizontal pouches, blister form fill of tablets and capsules, automatic box sealing, liquid fill from 0.5 ml to one gallon, kitting and POP assemble.
CO | Classic Trend, Inc. | julie@betinispirits.com | P.O. Box 3278, Idaho Springs, CO, 80452, United States | 855-423-8464 | BeTini Spirits is an award-winning, premium-crafted, ready-to-drink cocktail, that you can be proud to serve and happy to receive. Launched in 2015, by founder and product designer Julie Stevens, BeTini was created with the inspiration to design a low-cal, low-carb, pre-mixed cocktail that was delicious and luxurious; a cocktail you can enjoy at a girls’ weekend by the pool, rather than mixing and blending cocktails in the kitchen. BeTini’s ready-to-drink, vegan cocktails are made with premium spirits in six delicious flavors: Pink Cranberry, Appletini, Lemon Drop, Margarita, Tropical Sunset and Mojito. BeTini’s new line, BeTini Minis, packs of four recyclable 200ml PET bottles just launched and are the perfect on-the-go option for cocktail lovers. BeTini Spirits has received numerous awards for its beautiful flavors and for the design of its distinctive bottle from the SIP Awards, MicroLiquor Spirit Awards and more. As a female-owned and run company, BeTini is shaking up the spirits world and has become a brand to watch in the ready-to-drink (RTD) category with its craft-quality, visually delightful, award-winning cocktails.
CO | Crystal Packaging Inc. | 9155 Boston Street, Henderson, CO, 80640, United States | (303) 778-1805 | Crystal Packaging is a contract manufacturer specializing in liquid custom blending, private labeling, contract packaging, and shrink wrap fulfillment. We specialize in industrial chemicals, household cleaners, agricultural chemicals, automotive markets, and windshield washer fluid. Our manufacturing capabilities enable us to customize programs to meet pricing and performance needs and enable us to provide top-notch expertise and sales-technical support.
DE | Zacros America, Inc. (Associate Member) | customerservice@zacrosamerica.com | 220 Lake Drive, Newark, DE, 19702, United States | 800-890-1183 | ZACROS is a flexible packaging manufacturer focusing on sustainability with specialties in liquid packaging. We provide monolayer and multilayer packaging products, including CUBITAINER® and flexible pouches. Our capabilities include extrusion, vacuum / thermoforming, coating, injection molding, prototyping, pouch making, product testing, and cleanroom manufacturing.
FL | Intertape Polymer Corp. (Associate Member) | 100 Paramount Drive Suite 300, Sarasota, FL, 34232, United States | (877) 318-5752 | IPG® manufactures a broad range of packaging products and systems that reflect the needs of both its industrial and retail customers. These include one of the largest offerings of tape available: pressure sensitive and water-activated, carton-sealing, masking, filament, flatback, cloth/duct, double-coated, high performance specialty, electrical, automotive, and HVAC tapes. Additional products include shrink film and stretch film as well as carton-sealing equipment.
FL | Polypack, Inc. (Associate Member) | 3301 Gateway Centre Blvd, Pinellas Park, FL, 33782, United States | 727-578-5000 | Packaging equipment manufacturer.
